 ár,mán,  t
1978,1,-2.6
1978,2,-1.6
1978,3,1.1
1978,4,3.8
1978,5,6.2
1978,6,8.2
1978,7,11.5
1978,8,11.1
1978,9,7.3
1978,10,4.4
1978,11,0.4
1978,12,0.9
1979,1,-5.5
1979,2,-0.4
1979,3,-5.8
1979,4,1.9
1979,5,2.6
1979,6,8.4
1979,7,9.8
1979,8,10.3
1979,9,5.1
1979,10,4.4
1979,11,0.1
1979,12,-0.8
1980,1,-0.5
1980,2,1.8
1980,3,0.3
1980,4,3.8
1980,5,6.7
1980,6,10.5
1980,7,11.1
1980,8,10.9
1980,9,7.9
1980,10,0.9
1980,11,0.0
1980,12,-2.2
1981,1,-2.7
1981,2,-0.9
1981,3,-1.5
1981,4,4.5
1981,5,7.1
1981,6,8.7
1981,7,10.6
1981,8,10.5
1981,9,6.8
1981,10,-0.5
1981,11,-0.7
1981,12,-2.8
1982,1,-2.2
1982,2,2.3
1982,3,0.2
1982,4,3.6
1982,5,5.4
1982,6,9.5
1982,7,11.0
1982,8,9.4
1982,9,5.4
1982,10,4.1
1982,11,-0.7
1982,12,-2.3
1983,1,-2.1
1983,2,1.0
1983,3,-0.4
1983,4,-0.4
1983,5,6.5
1983,6,8.2
1983,7,9.0
1983,8,8.6
1983,9,6.1
1983,10,3.2
1983,11,0.8
1983,12,-0.4
1984,1,-4.6
1984,2,-0.1
1984,3,1.1
1984,4,3.2
1984,5,6.0
1984,6,9.7
1984,7,11.1
1984,8,10.3
1984,9,7.1
1984,10,2.7
1984,11,0.5
1984,12,0.8
1985,1,-0.9
1985,2,0.5
1985,3,-0.5
1985,4,3.4
1985,5,6.9
1985,6,9.6
1985,7,10.5
1985,8,10.7
1985,9,6.1
1985,10,6.4
1985,11,-0.3
1985,12,-2.6
1986,1,-1.0
1986,2,0.5
1986,3,0.6
1986,4,3.2
1986,5,5.8
1986,6,8.7
1986,7,11.2
1986,8,10.4
1986,9,7.1
1986,10,1.8
1986,11,0.7
1986,12,-1.2
1987,1,3.1
1987,2,0.9
1987,3,0.1
1987,4,3.1
1987,5,6.4
1987,6,10.8
1987,7,11.4
1987,8,11.3
1987,9,7.5
1987,10,2.1
1987,11,4.2
1987,12,3.5
1988,1,-3.9
1988,2,-1.7
1988,3,-0.2
1988,4,0.7
1988,5,8.0
1988,6,8.5
1988,7,11.6
1988,8,10.7
1988,9,6.9
1988,10,4.0
1988,11,2.8
1988,12,1.1
1989,1,0.6
1989,2,-3.0
1989,3,-1.6
1989,4,1.5
1989,5,5.4
1989,6,8.9
1989,7,9.8
1989,8,10.1
1989,9,7.3
1989,10,4.9
1989,11,1.2
1989,12,-0.5
1990,1,0.5
1990,2,-2.7
1990,3,-1.3
1990,4,-0.1
1990,5,7.5
1990,6,10.1
1990,7,11.6
1990,8,11.3
1990,9,6.8
1990,10,4.5
1990,11,2.8
1990,12,-0.3
1991,1,1.1
1991,2,2.1
1991,3,1.8
1991,4,1.3
1991,5,7.0
1991,6,10.8
1991,7,12.8
1991,8,11.5
1991,9,7.3
1991,10,4.0
1991,11,-0.4
1991,12,1.1
1992,1,2.2
1992,2,0.4
1992,3,0.5
1992,4,2.6
1992,5,5.9
1992,6,8.2
1992,7,10.3
1992,8,9.8
1992,9,6.7
1992,10,3.1
1992,11,0.5
1992,12,-0.5
1993,1,-3.0
1993,2,1.1
1993,3,1.1
1993,4,3.5
1993,5,5.6
1993,6,8.7
1993,7,10.6
1993,8,9.5
1993,9,9.0
1993,10,4.2
1993,11,4.8
1993,12,-2.7
1994,1,-2.3
1994,2,0.9
1994,3,-1.8
1994,4,1.6
1994,5,7.4
1994,6,8.6
1994,7,11.9
1994,8,10.7
1994,9,6.4
1994,10,3.1
1994,11,2.1
1994,12,-1.5
1995,1,-2.1
1995,2,-3.0
1995,3,-2.8
1995,4,1.4
1995,5,7.0
1995,6,9.5
1995,7,10.7
1995,8,10.4
1995,9,7.6
1995,10,3.0
1995,11,0.7
1995,12,-0.9
1996,1,1.5
1996,2,-1.4
1996,3,2.3
1996,4,4.5
1996,5,7.3
1996,6,10.3
1996,7,11.2
1996,8,10.5
1996,9,10.4
1996,10,3.8
1996,11,-3.8
1996,12,-0.7
1997,1,0.3
1997,2,-1.7
1997,3,0.2
1997,4,3.6
1997,5,6.0
1997,6,8.8
1997,7,11.8
1997,8,11.0
1997,9,7.6
1997,10,5.0
1997,11,2.9
1997,12,2.0
1998,1,0.1
1998,2,-1.3
1998,3,-1.5
1998,4,3.5
1998,5,7.1
1998,6,10.7
1998,7,11.7
1998,8,11.5
1998,9,7.8
1998,10,1.9
1998,11,1.7
1998,12,0.9
1999,1,-0.5
1999,2,-1.6
1999,3,-2.7
1999,4,2.3
1999,5,7.1
1999,6,9.2
1999,7,10.8
1999,8,11.2
1999,9,8.3
1999,10,5.4
1999,11,0.9
1999,12,-1.9
2000,1,-0.0
2000,2,-1.2
2000,3,0.3
2000,6,9.5
2000,7,11.7
2000,8,10.9
2000,9,8.2
2000,10,4.1
2000,11,0.2
2000,12,-0.8
2001,1,0.7
2001,2,-0.4
2001,3,-0.9
2001,4,3.3
2001,5,6.8
2001,6,9.3
2001,7,11.1
2001,8,11.4
2001,9,9.2
2001,10,5.7
2002,6,10.9
2002,7,11.4
2002,8,10.6
2002,9,9.0
2002,10,3.9
2002,11,4.0
2002,12,4.2
2003,1,0.9
2003,2,2.4
2003,3,3.6
2003,4,6.0
2003,5,6.5
2003,6,10.9
2003,7,12.8
2003,8,13.1
2003,9,7.7
2003,10,4.6
2003,11,1.7
2003,12,-0.1
2004,1,-0.9
2004,2,0.6
2004,3,3.6
2004,4,5.5
2004,5,7.3
2004,6,10.9
2004,7,11.9
2004,8,12.4
2004,9,9.0
2004,10,3.9
2004,11,1.6
2004,12,-0.1
2005,1,-1.2
2005,2,0.8
2005,3,2.8
2005,4,3.8
2005,5,6.4
2005,6,
2005,7,12.2
2005,8,10.7
2005,9,5.6
2005,10,2.3
2005,11,1.2
2005,12,2.0
2006,1,1.8
2006,2,2.8
2006,3,0.0
2006,4,2.0
2006,5,6.8
2006,6,9.8
2006,7,11.7
2006,8,11.4
2006,9,10.0
2006,10,4.4
2006,11,1.1
2006,12,2.0
2007,1,-1.4
2007,2,-0.5
2007,3,2.2
2007,6,11.0
2007,7,13.2
2007,8,11.0
2007,9,7.8
2007,10,5.6
2007,11,2.4
2007,12,1.1
2008,1,-0.7
2008,2,-0.0
2008,3,-0.3
2008,4,3.0
2008,5,8.5
2008,6,11.2
2008,7,12.6
2008,8,11.6
2008,9,9.7
2008,10,1.7
2008,11,2.1
2008,12,0.6
2009,1,1.2
2009,2,-0.2
2009,3,0.5
2009,4,5.0
2009,5,7.8
2009,6,10.7
2009,7,12.5
2009,8,11.3
2009,9,8.3
2009,10,4.5
2009,11,2.2
2009,12,-0.3
2010,1,1.1
2010,2,-1.2
2010,3,2.6
2010,4,2.5
2010,5,8.5
2010,6,11.2
2010,7,13.4
2010,8,12.0
2010,9,9.7
2010,10,5.5
2010,11,-0.9
2010,12,-1.0
2011,1,1.4
2011,2,2.1
2011,3,0.4
2011,4,4.6
2011,5,7.2
2011,6,9.2
2011,7,12.2
2011,8,10.8
2011,9,8.7
2011,10,4.9
2011,11,4.2
2011,12,-2.9
2012,1,0.1
2012,2,3.2
2012,3,3.5
2012,4,4.0
2012,5,6.5
2012,6,11.0
2012,7,12.8
2012,8,11.8
2012,9,6.7
2012,10,3.2
2012,11,0.6
2012,12,0.4
2013,1,2.2
2013,2,3.8
2013,3,0.1
2013,4,1.4
2013,5,6.0
2013,6,9.8
2013,7,11.1
2013,8,10.4
2013,9,6.9
2013,10,3.3
2013,11,1.7
2013,12,-0.5
2014,1,2.0
2014,2,0.6
2014,3,2.0
2014,4,4.9
2014,5,7.5
2014,6,11.1
2014,7,11.5
2014,8,11.1
2014,9,9.5
2014,10,3.1
2014,11,5.3
2014,12,-1.4
2015,1,-0.7
2015,2,0.3
2015,3,1.2
2015,4,2.6
2015,5,4.4
2015,6,9.0
2015,7,10.7
2015,8,10.7
2015,9,9.2
2015,10,5.1
2015,11,1.2
2015,12,-0.6
2016,1,-0.8
2016,2,-1.5
2016,3,2.2
2016,4,4.1
2016,5,6.9
2016,6,10.5
2016,7,12.8
2016,8,11.5
2016,9,8.1
2016,10,7.8
2016,11,3.4
2016,12,3.7
