 ár,mán,  t
1969,5,3.0
1969,6,8.3
1969,7,8.6
1969,8,10.3
1969,9,5.1
1969,10,2.4
1969,11,-4.5
1969,12,-1.9
1970,1,-2.3
1970,2,-4.8
1970,3,-4.6
1970,4,0.1
1970,5,3.8
1970,6,9.2
1970,7,6.8
1970,8,8.3
1970,9,5.6
1970,10,1.8
1970,11,-1.9
1970,12,0.2
1971,1,-6.6
1971,2,-1.7
1971,3,-0.9
1971,4,1.1
1971,5,4.9
1971,6,7.3
1971,7,9.1
1971,8,7.8
1971,9,6.3
1971,10,1.9
1971,11,-1.3
1971,12,-2.1
1972,1,1.7
1972,2,0.1
1972,3,0.7
1972,4,1.1
1972,5,7.1
1972,6,6.8
1972,7,9.5
1972,8,8.3
1972,9,7.5
1972,10,2.9
1972,11,-2.0
1972,12,-0.2
1973,1,1.9
1973,2,-5.6
1973,3,0.3
1973,4,1.4
1973,5,3.8
1973,6,5.7
1973,7,9.4
1973,8,8.9
1973,9,7.8
1973,10,2.5
1973,11,-4.6
1973,12,-6.7
1974,1,-0.5
1974,2,-2.6
1974,3,3.0
1974,4,5.5
1974,5,6.9
1974,6,8.6
1974,7,9.7
1974,8,7.8
1974,9,3.9
1974,10,3.5
1974,11,0.5
1974,12,-4.9
1975,1,-6.3
1975,2,1.6
1975,3,-1.8
1975,4,0.2
1975,5,5.5
1975,6,6.3
1975,7,10.0
1975,8,9.5
1975,9,3.8
1975,10,4.0
1975,11,0.4
1975,12,-2.9
1976,1,-4.5
1976,2,-0.9
1976,3,0.5
1976,4,1.5
1976,5,4.5
1976,6,9.3
1976,7,11.6
1976,8,10.9
1976,9,8.0
1976,10,4.5
1976,11,1.6
1976,12,-3.7
1977,1,-4.2
1977,2,-3.3
1977,3,0.3
1977,4,-0.3
1977,5,6.6
1977,6,8.4
1977,7,11.1
1977,8,9.7
1977,9,7.1
1977,10,2.8
1977,11,-3.5
1977,12,-1.4
1978,1,-4.2
1978,2,-4.2
1978,3,-0.7
1978,4,2.6
1978,5,5.8
1978,6,7.6
1978,7,10.3
1978,8,11.5
1978,9,5.9
1978,10,3.1
1978,11,-1.2
1978,12,-0.5
1979,1,-6.2
1979,2,-2.1
1979,3,-7.2
1979,4,-0.0
1979,5,-0.1
1979,6,7.9
1979,7,7.9
1979,8,7.9
1979,9,3.5
1979,10,3.6
1979,11,-0.9
1979,12,-2.1
1980,1,-2.7
1980,2,-0.5
1980,3,-0.3
1980,4,3.0
1980,5,7.3
1980,6,8.9
1980,7,10.3
1980,8,9.9
1980,9,6.5
1980,10,-1.0
1980,11,-1.2
1980,12,-4.2
1981,1,-4.5
1981,2,-3.1
1981,3,-2.8
1981,4,3.1
1981,5,4.6
1981,6,7.7
1981,7,9.0
1981,8,10.6
1981,9,5.3
1981,10,-1.5
1981,11,-2.5
1981,12,-4.8
1982,1,-4.1
1982,2,0.7
1982,3,-0.7
1982,4,2.2
1982,5,3.3
1982,6,8.8
1982,7,10.7
1982,8,7.9
1982,9,4.0
1982,10,2.8
1982,11,-2.6
1982,12,-3.1
1983,1,-4.2
1983,2,0.5
1983,3,-2.2
1983,4,-2.4
1983,5,3.4
1983,6,7.7
1983,7,9.7
1983,8,9.5
1983,9,4.8
1983,10,1.4
1983,11,0.2
1983,12,-2.8
1984,1,-6.2
1984,2,-0.7
1984,3,0.6
1984,4,2.8
1984,5,5.3
1984,6,9.7
1984,7,12.2
1984,8,11.2
1984,9,6.0
1984,10,1.1
1984,11,-1.7
1984,12,-1.0
1985,1,-3.2
1985,2,-2.1
1985,3,-2.0
1985,4,2.2
1985,5,6.2
1985,6,8.6
1985,7,8.5
1985,8,8.1
1985,9,4.6
1985,10,5.2
1985,11,-1.6
1985,12,-4.8
1986,1,-1.8
1986,2,-1.1
1986,3,-0.5
1986,4,2.1
1986,5,3.7
1986,6,9.7
1986,7,9.0
1986,8,8.8
1986,9,5.7
1986,10,0.7
1986,11,-1.3
1986,12,-2.3
1987,1,2.1
1987,2,-1.8
1987,3,-1.2
1987,4,2.4
1987,5,6.4
1987,6,8.4
1987,7,11.2
1987,8,9.3
1987,9,6.2
1987,10,-0.1
1987,11,3.1
1987,12,1.7
1988,1,-5.2
1988,2,-3.6
1988,3,-3.0
1988,4,-1.8
1988,5,5.8
1988,6,9.9
1988,7,9.3
1988,8,10.2
1988,9,5.8
1988,10,2.4
1988,11,1.3
1988,12,-1.0
1989,1,-1.8
1989,2,-5.6
1989,3,-2.3
1989,4,-0.1
1989,5,3.6
1989,6,8.3
1989,7,10.9
1989,8,9.2
1989,9,6.3
1989,10,3.5
1989,11,-0.3
1989,12,-1.8
1990,1,-1.9
1990,2,-4.1
1990,3,-4.0
1990,4,-1.5
1990,5,6.7
1990,6,9.3
1990,7,11.8
1990,8,9.7
1990,9,5.3
1990,10,3.4
1990,11,1.4
1990,12,-1.7
1991,1,0.1
1991,2,-0.3
1991,3,0.8
1991,4,-0.1
1991,5,7.0
1991,6,7.7
1991,7,12.2
1991,8,10.5
1991,9,5.9
1991,10,3.6
1991,11,-2.1
1991,12,0.1
1992,1,1.9
1992,2,-1.4
1992,3,-0.9
1992,4,1.3
1992,5,5.4
1992,6,7.8
1992,7,9.2
1992,8,8.8
1992,9,5.5
1992,10,2.9
1992,11,-0.8
1992,12,-1.8
1993,1,-4.2
1993,2,-0.4
1993,3,0.8
1993,4,2.7
1993,5,4.7
1993,6,8.0
1993,7,6.4
1993,10,2.9
1993,11,3.5
1993,12,-4.3
1994,1,-4.2
1994,2,-0.7
1994,3,-2.8
1994,4,0.1
1994,5,6.2
1994,6,7.4
1994,7,10.8
1994,8,10.5
1994,9,5.5
1994,10,1.4
1994,11,0.0
1994,12,-2.4
1995,1,-3.9
1995,2,-5.5
1995,3,-3.8
1995,4,-0.7
1995,5,3.0
1995,6,8.9
1995,7,9.4
1995,8,11.2
1995,9,6.9
1995,10,1.3
1995,11,0.1
1995,12,-2.4
1996,1,0.4
1996,2,-1.9
1996,3,2.2
1996,4,2.8
1996,5,6.3
1996,6,8.9
1996,7,11.1
1996,8,9.5
1996,9,10.3
1996,10,2.3
1996,11,-5.5
1996,12,-1.5
1997,1,-1.2
1997,2,-3.2
1997,3,-2.7
1997,4,2.6
1997,5,4.4
1997,6,7.3
1997,7,12.2
1997,8,9.6
1997,9,6.8
1997,10,3.6
1997,11,1.7
1997,12,0.7
1998,1,-1.4
1998,2,-3.5
1998,3,-2.9
1998,4,1.1
1998,5,6.4
1998,6,7.2
1998,7,8.2
1998,8,10.6
1998,9,6.3
1998,10,0.9
1998,11,-0.8
1998,12,-0.5
1999,1,-1.7
1999,2,-2.7
1999,3,-4.1
1999,4,-0.1
1999,5,5.7
1999,6,9.1
1999,7,10.9
1999,8,10.7
1999,9,6.3
1999,10,3.8
1999,11,0.6
1999,12,-2.6
2000,1,-0.2
2000,2,-2.4
2000,3,-0.7
2000,4,0.2
2000,5,5.7
2000,6,8.9
2000,7,11.6
2000,8,10.7
2000,9,7.7
2000,10,2.7
2000,11,-1.1
2000,12,-2.2
2001,1,0.0
2001,2,-2.1
2001,3,-3.3
2001,4,1.7
2001,5,6.0
2001,6,7.4
2001,7,9.8
2001,8,9.6
2001,9,8.0
2001,10,3.9
2001,11,0.1
2001,12,1.0
2002,1,-1.0
2002,2,-6.4
2002,3,-2.4
2002,4,2.8
2002,5,4.4
2002,6,9.2
2002,7,10.2
2002,8,9.6
2002,9,8.9
2002,10,3.4
2002,11,2.9
2002,12,2.9
2003,1,-1.5
2003,2,1.2
2003,3,2.3
2003,4,5.0
2003,5,5.1
2003,6,10.7
2003,7,11.3
2003,8,12.6
2003,9,7.2
2003,10,3.7
2003,11,0.3
2003,12,-1.6
2004,1,-2.6
2004,2,-0.4
2004,3,3.1
2004,4,4.0
2004,5,5.6
2004,6,10.0
2004,7,11.8
2004,8,11.5
2004,9,7.9
2004,10,2.5
2004,11,0.1
2004,12,-2.1
