 ár,mán,  t
1963,6,9.4
1963,7,10.0
1963,8,9.0
1963,9,4.8
1963,10,4.1
1963,11,-3.5
1963,12,0.1
1964,1,1.5
1964,2,1.3
1964,3,4.3
1964,4,3.1
1964,5,7.2
1964,6,8.2
1964,7,9.3
1964,8,8.9
1964,9,5.4
1964,10,3.7
1964,11,1.3
1964,12,-5.2
1965,1,-2.6
1965,2,2.2
1965,3,-2.8
1965,4,2.2
1965,5,6.7
1965,6,8.5
1965,7,10.8
1965,8,9.3
1965,9,6.0
1965,10,5.6
1965,11,-2.1
1965,12,-4.0
1966,1,-3.8
1966,2,-4.7
1966,3,-2.2
1966,4,2.7
1966,5,4.7
1966,6,9.2
1966,7,10.0
1966,8,9.8
1966,9,7.3
1966,10,1.1
1966,11,-1.6
1966,12,-3.6
1967,1,-0.7
1967,2,0.5
1967,3,-4.4
1967,4,0.4
1967,5,5.0
1967,6,7.6
1967,7,10.2
1967,8,9.4
1967,9,7.0
1967,10,1.2
1967,11,-1.7
1967,12,-3.2
1968,1,-3.5
1968,2,-4.9
1968,3,-2.3
1968,4,1.6
1968,5,4.5
1968,6,8.0
1968,7,11.0
1968,8,9.5
1968,9,8.5
1968,10,1.1
1968,11,3.4
1968,12,-1.6
1969,1,-3.2
1969,2,-6.8
1969,3,-1.4
1969,4,1.3
1969,5,5.8
1969,6,9.1
1969,7,9.3
1969,8,10.8
1969,9,4.6
1969,10,4.1
1969,11,-4.5
1969,12,-2.1
1970,1,-0.4
1970,2,-5.2
1970,3,-4.2
1970,4,1.0
1970,5,5.4
1970,6,8.1
1970,7,9.0
1970,8,9.4
1970,9,6.3
1970,10,2.1
1970,11,-1.4
1970,12,0.0
1971,1,-5.8
1971,2,-0.7
1971,3,0.2
1971,4,2.5
1971,5,5.8
1971,6,8.7
1971,7,10.2
1971,8,9.0
1971,9,6.9
1971,10,2.6
1971,11,-1.3
1971,12,-1.6
1972,1,1.8
1972,2,1.1
1972,3,1.1
1972,4,2.4
1972,5,7.1
1972,6,8.1
1972,7,9.1
1972,8,8.6
1972,9,6.9
1972,10,3.1
1972,11,-1.3
1972,12,0.4
1973,1,1.2
1973,2,-3.6
1973,3,-0.8
1973,4,1.6
1973,5,4.0
1973,6,6.9
1973,7,10.0
1973,8,9.2
1973,9,7.5
1973,10,2.8
1973,11,-3.4
1973,12,-6.0
1974,1,-0.2
1974,2,-1.1
1974,3,2.9
1974,4,5.2
1974,5,7.6
1974,6,8.6
1974,7,10.7
1974,8,9.7
1974,9,5.0
1974,10,3.1
1974,11,0.9
1974,12,-4.2
1975,1,-4.4
1975,2,1.7
1975,3,-0.6
1975,4,1.7
1975,5,5.5
1975,6,7.0
1975,7,9.3
1975,8,10.0
1975,9,4.3
1975,10,5.5
1975,11,0.0
1975,12,-2.5
1976,1,-4.5
1976,2,-1.8
1976,3,0.2
1976,4,1.6
1976,5,5.7
1976,6,8.5
1976,7,11.1
1976,8,8.8
1976,9,7.4
1976,10,4.7
1976,11,1.7
1976,12,-4.1
1977,1,-3.4
1977,2,-2.9
1977,3,2.0
1977,4,0.8
1977,5,5.4
1977,6,7.6
1977,7,10.6
1977,8,9.9
1977,9,6.1
1977,10,3.8
1977,11,-3.0
1977,12,0.3
1978,1,-4.7
1978,2,-2.2
1978,3,0.7
1978,4,3.0
1978,5,5.0
1978,6,7.0
1978,7,10.8
1978,8,10.5
1978,9,6.7
1978,10,3.0
1978,11,-1.4
1978,12,-0.4
1979,1,-7.1
1979,2,-4.0
1979,3,-7.0
1979,4,1.0
1979,5,1.7
1979,6,7.4
1979,7,9.6
1979,8,9.2
1979,9,4.2
1979,10,3.5
1979,11,-1.0
1979,12,-2.1
1980,1,-2.3
1980,2,-0.2
1980,3,-1.9
1980,4,2.3
1980,5,5.9
1980,6,9.3
1980,7,10.7
1980,8,9.9
1980,9,6.7
1980,10,-0.5
1980,11,-0.6
1980,12,-2.9
1981,1,-4.7
1981,2,-2.9
1981,3,-2.1
1981,4,2.2
1981,5,5.7
1981,6,7.7
1981,7,9.5
1981,8,9.7
1981,9,6.3
1981,10,-0.9
1981,11,-2.0
1981,12,-4.0
1982,1,-4.1
1982,2,1.3
1982,3,-1.3
1982,4,2.0
1982,5,4.7
1982,6,9.3
1982,7,10.3
1982,8,8.9
1982,9,5.1
1982,10,3.1
1982,11,-1.8
1982,12,
1983,9,5.5
