 ár,mán,  t
1967,6,7.8
1967,7,9.8
1967,8,9.9
1967,9,8.4
1967,10,4.0
1967,11,2.1
1967,12,0.8
1968,1,0.4
1968,2,0.9
1968,3,0.8
1968,4,3.2
1968,5,5.1
1968,6,7.8
1968,7,10.4
1968,8,9.8
1968,9,8.7
1968,10,4.4
1968,11,5.2
1968,12,1.8
1969,1,-0.2
1969,2,-0.9
1969,3,2.2
1969,4,3.4
1969,5,6.0
1969,6,8.3
1969,7,9.0
1969,8,10.0
1969,9,6.1
1969,10,5.6
1969,11,-0.2
1969,12,2.0
1970,1,1.8
1970,2,0.5
1970,3,-0.8
1970,4,3.0
1970,5,6.2
1970,6,8.0
1970,7,9.0
1970,8,9.3
1970,9,7.2
1970,10,4.3
1970,11,2.0
1970,12,3.0
1971,1,0.3
1971,2,2.4
1971,3,2.5
1971,4,4.1
1971,5,6.6
1971,6,8.6
1971,7,10.3
1971,8,9.7
1971,9,7.8
1971,10,4.7
1971,11,1.8
1971,12,2.1
1972,1,3.7
1972,2,3.7
1972,3,3.0
1972,4,4.1
1972,5,7.0
1972,6,8.3
1972,7,9.2
1972,8,8.9
1972,9,7.6
1972,10,5.3
1972,11,1.2
1972,12,2.8
1973,1,4.2
1973,2,-0.1
1973,3,2.7
1973,4,3.2
1973,5,5.0
1973,6,7.0
1973,7,9.3
1973,8,9.5
1973,9,8.3
1973,10,5.1
1973,11,-0.0
1973,12,-1.5
1974,1,2.8
1974,2,1.5
1974,3,4.5
1974,4,6.0
1974,5,6.8
1974,6,8.4
1974,7,10.2
1974,8,9.4
1974,9,6.2
1974,10,5.2
1974,11,3.4
1974,12,-0.4
1975,1,-0.3
1975,2,4.0
1975,3,1.7
1975,4,2.8
1975,5,5.9
1975,6,6.8
1975,7,9.0
1975,8,9.4
1975,9,6.1
1975,10,6.3
1975,11,2.9
1975,12,0.9
1976,1,-0.5
1976,2,1.9
1976,3,2.2
1976,4,3.1
1976,5,5.5
1976,6,8.1
1976,7,9.9
1976,8,9.2
1976,9,8.0
1976,10,6.2
1976,11,4.2
1976,12,0.7
1977,1,0.2
1977,2,2.5
1977,3,4.1
1977,4,2.6
1977,5,6.0
1977,6,8.1
1977,7,9.8
1977,8,9.6
1977,9,7.3
1977,10,5.7
1977,11,1.0
1977,12,2.7
1978,1,0.4
1978,2,1.5
1978,3,2.7
1978,4,4.1
1978,5,5.7
1978,6,7.4
1978,7,10.2
1978,8,10.2
1978,9,7.9
1978,10,4.9
1978,11,2.1
1978,12,3.1
1979,1,-1.9
1979,2,2.1
1979,3,-2.1
1979,4,3.0
1979,5,2.5
1979,6,7.5
1979,7,8.6
1979,8,9.7
1979,9,6.0
1979,10,5.5
1979,11,2.2
1979,12,1.6
1980,1,1.8
1980,2,3.1
1980,3,1.9
1980,4,3.8
1980,5,6.0
1980,6,9.0
1980,7,10.1
1980,8,10.3
1980,9,8.3
1980,10,3.4
1980,11,2.1
1980,12,0.6
1981,1,-0.3
1981,2,0.7
1981,3,0.7
1981,4,4.2
1981,5,5.8
1981,6,7.4
1981,7,9.3
1981,8,9.5
1981,9,7.2
1981,10,1.6
1981,11,1.6
1981,12,-0.2
1982,1,1.3
1982,2,3.1
1982,3,1.8
1982,4,3.7
1982,5,4.6
1982,6,7.9
1982,7,9.8
1982,8,9.0
1982,9,6.3
1982,10,5.3
1982,11,1.4
1982,12,0.6
1983,1,-0.3
1983,2,2.4
1983,3,1.0
1983,4,1.1
1983,5,6.2
1983,6,7.4
1983,7,8.0
1983,8,8.0
1983,9,6.6
1983,10,4.3
1983,11,2.8
1983,12,1.8
1984,1,-1.4
1984,2,1.6
1984,3,2.0
1984,4,3.2
1984,5,5.6
1984,6,8.0
1984,7,9.7
1984,8,9.7
1984,9,7.5
1984,10,4.6
1984,11,3.1
1984,12,2.2
1985,1,1.8
1985,2,2.4
1985,3,1.1
1985,4,4.1
1985,5,6.2
1985,6,8.1
1985,7,9.6
1985,8,9.8
1985,9,7.0
1985,10,6.7
1985,11,1.7
1985,12,0.8
1986,1,1.3
1986,2,3.2
1986,3,1.8
1986,4,3.9
1986,5,5.7
1986,6,7.9
1986,7,9.9
1986,8,10.0
1986,9,7.4
1986,10,3.6
1986,11,2.2
1986,12,1.1
1987,1,4.3
1987,2,3.3
1987,3,1.1
1987,4,3.2
1987,5,5.5
1987,6,9.0
1987,7,9.8
1987,8,10.1
1987,9,7.9
1987,10,3.9
1987,11,4.6
1987,12,4.7
1988,1,-0.1
1988,2,0.9
1988,3,1.6
1988,4,1.7
1988,5,6.5
1988,6,7.5
1988,7,10.2
1988,8,10.0
1988,9,7.4
1988,10,5.0
1988,11,4.5
1988,12,2.4
1989,1,1.7
1989,2,-0.8
1989,3,1.0
1989,4,2.5
1989,5,5.0
1989,6,7.7
1989,7,8.9
1989,8,9.2
1989,9,7.2
1989,10,5.3
1989,11,3.5
1989,12,1.9
1990,1,2.0
1990,2,0.4
1990,3,0.2
1990,4,1.3
1990,5,6.6
1990,6,8.8
1990,7,10.2
1990,8,10.6
1990,9,6.9
1990,10,5.3
1990,11,4.0
1990,12,1.1
1991,1,2.4
1991,2,3.3
1991,3,2.8
1991,4,2.0
1991,5,6.2
1991,6,8.9
1991,7,11.2
1991,8,10.5
1991,9,7.7
1991,10,5.1
1991,11,1.7
1991,12,2.4
1992,1,3.3
1992,2,1.3
1992,3,1.5
1992,4,3.1
1992,5,5.3
1992,6,7.2
1992,7,8.7
1992,8,9.2
1992,9,7.1
1992,10,4.7
1992,11,2.2
1992,12,0.6
1993,1,-0.2
1993,2,1.7
1993,3,2.1
1993,4,3.7
1993,5,5.2
1993,6,7.3
1993,7,9.3
1993,8,8.8
1993,9,8.6
1993,10,5.2
1993,11,4.5
1993,12,0.2
1994,1,0.2
1994,2,2.5
1994,3,0.1
1994,4,2.3
1994,5,6.7
1994,6,7.6
1994,7,10.3
1994,8,10.2
1994,9,7.2
1994,10,4.7
1994,11,3.8
1994,12,0.4
1995,1,0.2
1995,2,0.1
1995,3,-0.5
1995,4,1.9
1995,5,5.9
1995,6,8.3
1995,7,9.4
1995,8,9.6
1995,9,7.6
1995,10,4.7
1995,11,2.9
1995,12,2.0
1996,1,3.6
1996,2,1.2
1996,3,3.2
1996,4,4.9
1996,5,6.5
1996,6,8.8
1996,7,10.0
1996,8,9.8
1996,9,9.8
1996,10,5.1
1996,11,0.0
1996,12,2.2
1997,1,2.2
1997,2,0.4
1997,3,1.6
1997,4,4.3
1997,5,5.7
1997,6,7.6
1997,7,10.3
1997,8,10.3
1997,9,7.8
1997,10,6.0
1997,11,5.1
1997,12,4.3
1998,1,2.6
1998,2,1.0
1998,3,0.6
1998,4,4.0
1998,5,6.5
1998,6,8.9
1998,7,10.4
1998,8,10.6
1998,9,8.2
1998,10,3.5
1998,11,3.6
1998,12,3.2
1999,1,2.1
1999,2,0.2
1999,3,0.7
1999,4,3.3
1999,5,6.3
1999,6,7.9
1999,7,9.3
1999,8,10.3
1999,9,8.2
1999,10,6.0
1999,11,3.0
1999,12,0.9
2000,1,2.0
2000,2,0.8
2000,3,1.7
2000,4,2.2
2000,5,6.2
2000,6,8.3
2000,7,10.5
2000,8,10.5
2000,9,8.8
2000,10,5.8
2000,11,2.4
2000,12,2.2
2001,1,3.0
2001,2,1.3
2001,3,1.2
2001,4,4.2
2001,5,6.1
2001,6,8.2
2001,7,10.2
2001,8,10.8
2001,9,9.2
2001,10,7.0
2001,11,2.9
2001,12,3.2
2002,1,2.9
2002,2,-0.4
2002,3,1.9
2002,4,4.6
2002,5,6.7
2002,6,9.2
2002,7,10.1
2002,8,9.9
2002,9,8.8
2002,10,5.2
2002,11,5.8
2002,12,5.5
2003,1,3.1
2003,2,2.9
2003,3,4.1
2003,4,5.6
2003,5,5.9
2003,6,9.3
2003,7,11.4
2003,8,12.1
2003,9,8.5
2003,10,5.7
2003,11,3.9
2003,12,2.1
2004,1,1.7
2004,2,2.4
2004,3,4.5
2004,4,5.5
2004,5,6.5
2004,6,9.1
2004,7,10.6
2004,8,11.8
2004,9,9.4
2004,10,5.4
2004,11,3.5
2004,12,1.5
2005,1,1.6
2005,2,2.3
2005,3,3.7
2005,4,4.3
2005,5,5.7
2005,6,9.3
2005,7,10.9
2005,8,10.0
2005,9,6.4
2005,10,3.8
2005,11,3.1
2005,12,3.7
2006,1,3.2
2006,2,4.3
2006,3,1.9
2006,4,2.6
2006,5,6.1
2006,6,8.8
2006,7,10.2
2006,8,10.8
2006,9,10.0
2006,10,6.1
2006,11,3.1
2006,12,4.0
2007,1,1.7
2007,2,2.5
2007,3,3.1
2007,4,5.2
2007,5,5.8
2007,6,9.4
2007,7,11.2
2007,8,10.9
2007,9,7.8
2007,10,6.2
2007,11,3.9
2007,12,2.9
2008,1,1.4
2008,2,1.3
2008,3,1.8
2008,4,4.3
2008,5,7.5
2008,6,9.6
2008,7,11.2
2008,8,10.8
2008,9,9.4
2008,10,3.5
2008,11,3.2
2008,12,2.5
2009,1,3.3
2009,2,2.6
2009,3,1.7
2009,4,5.3
2009,5,6.8
2009,6,9.3
2009,7,11.2
2009,8,10.9
2009,9,8.5
2009,10,5.8
2009,11,4.6
2009,12,2.1
2010,1,3.7
2010,2,1.6
2010,3,4.0
2010,4,2.9
2010,5,7.5
2010,6,9.6
2010,7,11.8
2010,8,11.4
2010,9,9.9
2010,10,7.1
2010,11,2.5
2010,12,2.0
2011,1,2.8
2011,2,3.4
2011,3,1.6
2011,4,4.7
2011,5,6.5
2011,6,8.1
2011,7,10.6
2011,8,10.3
2011,9,9.2
2011,10,5.8
2011,11,5.3
2011,12,0.1
2012,1,2.3
2012,2,3.5
2012,3,3.6
2012,4,4.2
2012,5,5.8
2012,6,9.3
2012,7,11.9
2012,8,11.1
2012,9,7.3
2012,10,5.2
2012,11,2.6
2012,12,2.9
2013,1,4.1
2013,2,4.8
2013,3,1.9
2013,4,2.4
2013,5,
2013,6,
2013,7,
2013,8,
2013,9,
2013,10,
2013,11,
2013,12,
2014,1,
2014,2,
2014,3,
2014,4,
2014,5,
2014,6,
2014,7,
2014,8,
2014,9,
2014,10,
